orb of transmutation|진화의 오브
underground sea map (tier 13)|지하 해양 지도 (등급 13)
underground sea map (tier 16)|지하 해양 지도 (등급 16)
haunted mansion map (tier 16)|으스스한 대저택 지도 (등급 16)
residence map (tier 14)|주택 지도 (등급 14)
arachnid tomb map (tier 11)|거미류 무덤 지도 (등급 11)
haunted mansion map (tier 12)|으스스한 대저택 지도 (등급 12)
arachnid tomb map (tier 16)|거미류 무덤 지도 (등급 16)
arachnid tomb map (tier 15)|거미류 무덤 지도 (등급 15)
sulphur vents map (tier 16)|유황 분출구 지도 (등급 16)
residence map (tier 16)|주택 지도 (등급 16)
defiled cathedral map (tier 9)|더럽혀진 대성당 지도 (등급 9)
dungeon map (tier 5)|던전 지도 (등급 5)
underground river map (tier 15)|지하 강 지도 (등급 15)
defiled cathedral map (tier 6)|더럽혀진 대성당 지도 (등급 6)
dungeon map (tier 2)|던전 지도 (등급 2)
vaal pyramid map (tier 15)|바알 피라미드 지도 (등급 15)
coral ruins map (tier 12)|산호 유적 지도 (등급 12)
vaal pyramid map (tier 16)|바알 피라미드 지도 (등급 16)
crater map (tier 16)|분화구 지도 (등급 16)
underground river map (tier 16)|지하 강 지도 (등급 16)
malformation map (tier 13)|기형 지도 (등급 13)
malformation map (tier 16)|기형 지도 (등급 16)
dungeon map (tier 9)|던전 지도 (등급 9)
malformation map (tier 10)|기형 지도 (등급 10)
vaal pyramid map (tier 11)|바알 피라미드 지도 (등급 11)
underground sea map (tier 10)|지하 해양 지도 (등급 10)
scriptorium map (tier 4)|필사실 지도 (등급 4)
fungal hollow map (tier 10)|곰팡이 동혈 지도 (등급 10)
scriptorium map (tier 1)|필사실 지도 (등급 1)
bone crypt map (tier 4)|뼈 지하실 지도 (등급 4)
fungal hollow map (tier 14)|곰팡이 동혈 지도 (등급 14)
chateau map (tier 7)|대저택 지도 (등급 7)
overgrown shrine map (tier 6)|무성한 성소 지도 (등급 6)
fungal hollow map (tier 16)|곰팡이 동혈 지도 (등급 16)
coral ruins map (tier 16)|산호 유적 지도 (등급 16)
bone crypt map (tier 8)|뼈 지하실 지도 (등급 8)
scriptorium map (tier 8)|필사실 지도 (등급 8)
mesa map (tier 16)|메사 지도 (등급 16)
sulphur vents map (tier 10)|유황 분출구 지도 (등급 10)
sulphur vents map (tier 13)|유황 분출구 지도 (등급 13)
mesa map (tier 11)|메사 지도 (등급 11)
mesa map (tier 15)|메사 지도 (등급 15)
arcade map (tier 13)|상점가 지도 (등급 13)
arcade map (tier 16)|상점가 지도 (등급 16)
siege map (tier 12)|공성 지도 (등급 12)
gardens map (tier 1)|정원 지도 (등급 1)
siege map (tier 16)|공성 지도 (등급 16)
gardens map (tier 4)|정원 지도 (등급 4)
relic chambers map (tier 11)|유물의 방 지도 (등급 11)
desert map (tier 8)|사막 지도 (등급 8)
gardens map (tier 8)|정원 지도 (등급 8)
defiled cathedral map (tier 16)|더럽혀진 대성당 지도 (등급 16)
plateau map (tier 8)|고원 지도 (등급 8)
overgrown shrine map (tier 3)|무성한 성소 지도 (등급 3)
bone crypt map (tier 1)|뼈 지하실 지도 (등급 1)
cage map (tier 10)|창살 지도 (등급 10)
cage map (tier 14)|창살 지도 (등급 14)
defiled cathedral map (tier 13)|더럽혀진 대성당 지도 (등급 13)
cage map (tier 16)|창살 지도 (등급 16)
spider forest map (tier 16)|거미 숲 지도 (등급 16)
colonnade map (tier 8)|가로수 지도 (등급 8)
spider forest map (tier 14)|거미 숲 지도 (등급 14)
ramparts map (tier 8)|성벽 지도 (등급 8)
lava lake map (tier 9)|용암 호수 지도 (등급 9)
alleyways map (tier 16)|골목길 지도 (등급 16)
spider forest map (tier 10)|거미 숲 지도 (등급 10)
alleyways map (tier 15)|골목길 지도 (등급 15)
relic chambers map (tier 4)|유물의 방 지도 (등급 4)
relic chambers map (tier 7)|유물의 방 지도 (등급 7)
orchard map (tier 16)|과수원 지도 (등급 16)
crater map (tier 11)|분화구 지도 (등급 11)
colonnade map (tier 5)|가로수 지도 (등급 5)
crater map (tier 14)|분화구 지도 (등급 14)
shore map (tier 9)|바닷가 지도 (등급 9)
estuary map (tier 9)|강어귀 지도 (등급 9)
estuary map (tier 6)|강어귀 지도 (등급 6)
pier map (tier 11)|선창 지도 (등급 11)
bramble valley map (tier 10)|가시나무 계곡 지도 (등급 10)
flooded mine map (tier 9)|물에 잠긴 광산 지도 (등급 9)
shore map (tier 6)|바닷가 지도 (등급 6)
bramble valley map (tier 16)|가시나무 계곡 지도 (등급 16)
relic chambers map (tier 15)|유물의 방 지도 (등급 15)
pier map (tier 14)|선창 지도 (등급 14)
relic chambers map (tier 16)|유물의 방 지도 (등급 16)
bramble valley map (tier 14)|가시나무 계곡 지도 (등급 14)
pier map (tier 16)|선창 지도 (등급 16)
estuary map (tier 13)|강어귀 지도 (등급 13)
flooded mine map (tier 2)|물에 잠긴 광산 지도 (등급 2)
lava lake map (tier 5)|용암 호수 지도 (등급 5)
estuary map (tier 16)|강어귀 지도 (등급 16)
lava lake map (tier 2)|용암 호수 지도 (등급 2)
vaal temple map (tier 16)|바알 사원 지도 (등급 16)
flooded mine map (tier 5)|물에 잠긴 광산 지도 (등급 5)
belfry map (tier 13)|종탑 지도 (등급 13)
graveyard map (tier 8)|묘지 지도 (등급 8)
cells map (tier 11)|감방 지도 (등급 11)
belfry map (tier 16)|종탑 지도 (등급 16)
necropolis map (tier 12)|매장지 지도 (등급 12)
graveyard map (tier 5)|묘지 지도 (등급 5)
necropolis map (tier 15)|매장지 지도 (등급 15)
caldera map (tier 16)|칼데라 지도 (등급 16)
caldera map (tier 13)|칼데라 지도 (등급 13)
channel map (tier 7)|물길 지도 (등급 7)
bramble valley map (tier 7)|가시나무 계곡 지도 (등급 7)
summit map (tier 12)|꼭대기 지도 (등급 12)
summit map (tier 16)|꼭대기 지도 (등급 16)
jungle valley map (tier 11)|밀림 계곡 지도 (등급 11)
jungle valley map (tier 16)|밀림 계곡 지도 (등급 16)
jungle valley map (tier 15)|밀림 계곡 지도 (등급 15)
lair map (tier 16)|소굴 지도 (등급 16)
courtyard map (tier 16)|안뜰 지도 (등급 16)
ashen wood map (tier 16)|잿빛 숲 지도 (등급 16)
courtyard map (tier 12)|안뜰 지도 (등급 12)
plateau map (tier 5)|고원 지도 (등급 5)
ashen wood map (tier 13)|잿빛 숲 지도 (등급 13)
palace map (tier 16)|궁전 지도 (등급 16)
desert map (tier 11)|사막 지도 (등급 11)
cage map (tier 6)|창살 지도 (등급 6)
silo map (tier 8)|곡물 창고 지도 (등급 8)
desert map (tier 15)|사막 지도 (등급 15)
desert map (tier 16)|사막 지도 (등급 16)
cage map (tier 3)|창살 지도 (등급 3)
lair map (tier 13)|소굴 지도 (등급 13)
cold river map (tier 16)|차가운 강 지도 (등급 16)
palace map (tier 9)|궁전 지도 (등급 9)
cold river map (tier 15)|차가운 강 지도 (등급 15)
palace map (tier 12)|궁전 지도 (등급 12)
cold river map (tier 11)|차가운 강 지도 (등급 11)
pit map (tier 15)|구덩이 지도 (등급 15)
pit map (tier 16)|구덩이 지도 (등급 16)
dark forest map (tier 16)|어둠의 숲 지도 (등급 16)
basilica map (tier 16)|교회당 지도 (등급 16)
armoury map (tier 6)|갑주 창고 지도 (등급 6)
fields map (tier 5)|들판 지도 (등급 5)
colosseum map (tier 13)|원형 경기장 지도 (등급 13)
racecourse map (tier 7)|경주장 지도 (등급 7)
dark forest map (tier 13)|어둠의 숲 지도 (등급 13)
dungeon map (tier 16)|던전 지도 (등급 16)
colonnade map (tier 16)|가로수 지도 (등급 16)
dungeon map (tier 13)|던전 지도 (등급 13)
colonnade map (tier 12)|가로수 지도 (등급 12)
lookout map (tier 16)|전망대 지도 (등급 16)
moon temple map (tier 15)|달의 사원 지도 (등급 15)
fungal hollow map (tier 6)|곰팡이 동혈 지도 (등급 6)
moon temple map (tier 16)|달의 사원 지도 (등급 16)
lookout map (tier 15)|전망대 지도 (등급 15)
castle ruins map (tier 6)|성곽 유적 지도 (등급 6)
moon temple map (tier 11)|달의 사원 지도 (등급 11)
castle ruins map (tier 9)|성곽 유적 지도 (등급 9)
fields map (tier 8)|들판 지도 (등급 8)
city square map (tier 8)|도시 광장 지도 (등급 8)
strand map (tier 6)|해안 지도 (등급 6)
chateau map (tier 14)|대저택 지도 (등급 14)
ancient city map (tier 12)|고대 도시 지도 (등급 12)
chateau map (tier 16)|대저택 지도 (등급 16)
strand map (tier 3)|해안 지도 (등급 3)
overgrown shrine map (tier 14)|무성한 성소 지도 (등급 14)
overgrown shrine map (tier 16)|무성한 성소 지도 (등급 16)
overgrown shrine map (tier 10)|무성한 성소 지도 (등급 10)
atoll map (tier 16)|산호섬 지도 (등급 16)
fungal hollow map (tier 3)|곰팡이 동혈 지도 (등급 3)
atoll map (tier 12)|산호섬 지도 (등급 12)
promenade map (tier 16)|산책로 지도 (등급 16)
necropolis map (tier 16)|매장지 지도 (등급 16)
armoury map (tier 14)|갑주 창고 지도 (등급 14)
bog map (tier 10)|습지대 지도 (등급 10)
armoury map (tier 16)|갑주 창고 지도 (등급 16)
promenade map (tier 13)|산책로 지도 (등급 13)
beach map (tier 16)|해변 지도 (등급 16)
mausoleum map (tier 16)|능묘 지도 (등급 16)
dunes map (tier 13)|사구 지도 (등급 13)
bog map (tier 16)|습지대 지도 (등급 16)
dunes map (tier 16)|사구 지도 (등급 16)
bog map (tier 14)|습지대 지도 (등급 14)
chateau map (tier 10)|대저택 지도 (등급 10)
armoury map (tier 10)|갑주 창고 지도 (등급 10)
ancient city map (tier 16)|고대 도시 지도 (등급 16)
beach map (tier 14)|해변 지도 (등급 14)
armoury map (tier 3)|갑주 창고 지도 (등급 3)
basilica map (tier 12)|교회당 지도 (등급 12)
veritania's citadel map|베리타니아의 시타델 지도
purifier-occupied map|정화자의 손에 넘어간 지도
enslaver-occupied map|조종자의 손에 넘어간 지도
al-hezmin's citadel map|알-헤즈민의 시타델 지도
constrictor-occupied map|위압자의 손에 넘어간 지도
drox's citadel map|드록스의 시타델 지도
eradicator-occupied map|박멸자의 손에 넘어간 지도
baran's citadel map|바란의 시타델 지도
blight-ravaged map (tier 16)|역병에 유린당한 지도 (등급 16)
blight-ravaged map (tier 15)|역병에 유린당한 지도 (등급 15)
blight-ravaged map (tier 14)|역병에 유린당한 지도 (등급 14)
blighted map (tier 10)|역병 걸린 지도 (등급 10)
blighted map (tier 5)|역병 걸린 지도 (등급 5)
blighted map (tier 4)|역병 걸린 지도 (등급 4)
blighted map (tier 16)|역병 걸린 지도 (등급 16)
blighted map (tier 7)|역병 걸린 지도 (등급 7)
blighted map (tier 15)|역병 걸린 지도 (등급 15)
blighted map (tier 6)|역병 걸린 지도 (등급 6)
blighted map (tier 14)|역병 걸린 지도 (등급 14)
blighted map (tier 1)|역병 걸린 지도 (등급 1)
blighted map (tier 13)|역병 걸린 지도 (등급 13)
blighted map (tier 12)|역병 걸린 지도 (등급 12)
blighted map (tier 3)|역병 걸린 지도 (등급 3)
blighted map (tier 11)|역병 걸린 지도 (등급 11)
blighted map (tier 2)|역병 걸린 지도 (등급 2)
blighted map (tier 9)|역병 걸린 지도 (등급 9)
blighted map (tier 8)|역병 걸린 지도 (등급 8)
the putrid cloister (tier 12)|악취 나는 수도원 (등급 12)
mao kun (tier 9)|마오 쿤 (등급 9)
the twilight temple (tier 16)|황혼의 사원 (등급 16)
the putrid cloister (tier 16)|악취 나는 수도원 (등급 16)
the twilight temple (tier 15)|황혼의 사원 (등급 15)
the putrid cloister (tier 15)|악취 나는 수도원 (등급 15)
mao kun (tier 6)|마오 쿤 (등급 6)
mao kun (tier 16)|마오 쿤 (등급 16)
replica pillars of arun (tier 16)|아룬의 기둥 모조품 (등급 16)
mao kun (tier 13)|마오 쿤 (등급 13)
replica pillars of arun (tier 13)|아룬의 기둥 모조품 (등급 13)
the vinktar square (tier 12)|빙타 광장 (등급 12)
hall of grandmasters (tier 6)|명인의 전당 (등급 6)
the twilight temple (tier 11)|황혼의 사원 (등급 11)
acton's nightmare (tier 6)|액턴의 악몽 (등급 6)
the vinktar square (tier 16)|빙타 광장 (등급 16)
acton's nightmare (tier 3)|액턴의 악몽 (등급 3)
hall of grandmasters (tier 9)|명인의 전당 (등급 9)
cortex (tier 11)|코텍스 (등급 11)
the twilight temple (tier 7)|황혼의 사원 (등급 7)
maelström of chaos (tier 5)|혼돈의 마엘스트롬 (등급 5)
the twilight temple (tier 4)|황혼의 사원 (등급 4)
maelström of chaos (tier 8)|혼돈의 마엘스트롬 (등급 8)
maelström of chaos (tier 12)|혼돈의 마엘스트롬 (등급 12)
the tower of ordeals (tier 16)|시련의 탑 (등급 16)
maelström of chaos (tier 16)|혼돈의 마엘스트롬 (등급 16)
infused beachhead (tier 11)|주입된 교두보 (등급 11)
olmec's sanctum (tier 12)|올멕의 지성소 (등급 12)
olmec's sanctum (tier 16)|올멕의 지성소 (등급 16)
doryani's machinarium (tier 16)|도리아니의 기계실 (등급 16)
pillars of arun (tier 2)|아룬의 기둥 (등급 2)
hall of grandmasters (tier 13)|명인의 전당 (등급 13)
doryani's machinarium (tier 14)|도리아니의 기계실 (등급 14)
pillars of arun (tier 5)|아룬의 기둥 (등급 5)
pillars of arun (tier 9)|아룬의 기둥 (등급 9)
vaults of atziri (tier 7)|앗지리의 금고실 (등급 7)
vaults of atziri (tier 4)|앗지리의 금고실 (등급 4)
the coward's trial (tier 7)|겁쟁이의 시험 (등급 7)
hall of grandmasters (tier 16)|명인의 전당 (등급 16)
olmec's sanctum (tier 8)|올멕의 지성소 (등급 8)
acton's nightmare (tier 10)|액턴의 악몽 (등급 10)
replica poorjoy's asylum (tier 14)|푸어조이의 은신처 모조품 (등급 14)
acton's nightmare (tier 16)|액턴의 악몽 (등급 16)
replica poorjoy's asylum (tier 16)|푸어조이의 은신처 모조품 (등급 16)
acton's nightmare (tier 14)|액턴의 악몽 (등급 14)
replica pillars of arun (tier 5)|아룬의 기둥 모조품 (등급 5)
pillars of arun (tier 13)|아룬의 기둥 (등급 13)
oba's cursed trove (tier 16)|오바의 저주받은 전리품 (등급 16)
pillars of arun (tier 16)|아룬의 기둥 (등급 16)
olmec's sanctum (tier 1)|올멕의 지성소 (등급 1)
replica pillars of arun (tier 9)|아룬의 기둥 모조품 (등급 9)
olmec's sanctum (tier 4)|올멕의 지성소 (등급 4)
oba's cursed trove (tier 10)|오바의 저주받은 전리품 (등급 10)
caer blaidd, wolfpack's den (tier 15)|캐어블레이드 늑대의 소굴 (등급 15)
whakawairua tuahu (tier 14)|와카와 투아후 (등급 14)
caer blaidd, wolfpack's den (tier 16)|캐어블레이드 늑대의 소굴 (등급 16)
replica pillars of arun (tier 2)|아룬의 기둥 모조품 (등급 2)
the beachhead (tier 5)|교두보 (등급 5)
whakawairua tuahu (tier 10)|와카와 투아후 (등급 10)
oba's cursed trove (tier 13)|오바의 저주받은 전리품 (등급 13)
death and taxes (tier 16)|죽음과 의무 (등급 16)
death and taxes (tier 15)|죽음과 의무 (등급 15)
replica cortex (tier 11)|코텍스 모조품 (등급 11)
whakawairua tuahu (tier 16)|와카와 투아후 (등급 16)
death and taxes (tier 12)|죽음과 의무 (등급 12)
unique synthesis maps|고유 결합 지도
whakawairua tuahu (tier 3)|와카와 투아후 (등급 3)
vaults of atziri (tier 11)|앗지리의 금고실 (등급 11)
twisted distant memory (tier 11)|뒤틀린 희미한 기억 (등급 11)
whakawairua tuahu (tier 6)|와카와 투아후 (등급 6)
the vinktar square (tier 8)|빙타 광장 (등급 8)
vaults of atziri (tier 15)|앗지리의 금고실 (등급 15)
vaults of atziri (tier 16)|앗지리의 금고실 (등급 16)
the beachhead (tier 15)|교두보 (등급 15)
poorjoy's asylum (tier 16)|푸어조이의 은신처 (등급 16)
the beachhead (tier 10)|교두보 (등급 10)
the vinktar square (tier 5)|빙타 광장 (등급 5)
poorjoy's asylum (tier 14)|푸어조이의 은신처 (등급 14)
hallowed ground (tier 4)|거룩한 대지 (등급 4)
the coward's trial (tier 10)|겁쟁이의 시험 (등급 10)
hallowed ground (tier 16)|거룩한 대지 (등급 16)
augmented distant memory (tier 11)|강화된 희미한 기억 (등급 11)
altered distant memory (tier 11)|뒤바뀐 희미한 기억 (등급 11)
hallowed ground (tier 15)|거룩한 대지 (등급 15)
hallowed ground (tier 11)|거룩한 대지 (등급 11)
hallowed ground (tier 7)|거룩한 대지 (등급 7)
rewritten distant memory (tier 11)|다시 쓰인 희미한 기억 (등급 11)
the coward's trial (tier 14)|겁쟁이의 시험 (등급 14)
the coward's trial (tier 16)|겁쟁이의 시험 (등급 16)
honoured tattoo of the makanga|마캉가의 명예로운 문신
honoured tattoo of the sky|하늘의 명예로운 문신
omen of bequeathal|대물림의 징조
honoured tattoo of the hunter|사냥꾼의 명예로운 문신
tattoo of the rongokurai makanga|롱고쿠라이 마캉가의 문신
honoured tattoo of the pillager|약탈꾼의 명예로운 문신
honoured tattoo of the barbarian|야만인의 명예로운 문신
honoured tattoo of the wise|현명한 자의 명예로운 문신
honoured tattoo of the hatungo|하툰고의 명예로운 문신
honoured tattoo of the turtle|거북이의 명예로운 문신
tattoo of the ngamahu makanga|나마후 마캉가의 문신
tattoo of the kitava makanga|키타바 마캉가의 문신
honoured tattoo of the mountain|산맥의 명예로운 문신
loyalty tattoo of rakiata|라키아타의 충성 문신
loyalty tattoo of maata|마아타의 충성 문신
ancestral tattoo of bloodlines|혈맹의 선조 문신
honoured tattoo of the pa|파의 명예로운 문신
loyalty tattoo of kahuturoa|카후투로아의 충성 문신
imperial delirium orb|제국 환영의 오브
honoured tattoo of the flood|홍수의 명예로운 문신
tattoo of the tawhoa makanga|타호아 마캉가의 문신
tattoo of the valako makanga|발라코 마캉가의 문신
honoured tattoo of the warlord|전쟁군주의 명예로운 문신
tattoo of the hinekora makanga|히네코라 마캉가의 문신
loyalty tattoo of ahuana|아후아나의 충성 문신
honoured tattoo of the tuatara|투아타라의 명예로운 문신
jewellery recombinator|장신구 재조합기
loyalty tattoo of kiloava|킬로아바의 충성 문신
armour recombinator|방어구 재조합기
omen of resurgence|재기의 징조
tattoo of the arohongui makanga|아로호누이 마캉가의 문신
loyalty tattoo of ikiaho|이키아호의 충성 문신
loyalty tattoo of akoya|아코야의 충성 문신
loyalty tattoo of kaom|카옴의 충성 문신
omen of revenge|복수의 징조
journey tattoo of makanui|마카누이의 여정 문신
omen of acceleration|가속의 징조
loyalty tattoo of utula|우툴라의 충성 문신
honoured tattoo of the storm|폭풍의 명예로운 문신
honoured tattoo of the flock|무리의 명예로운 문신
tattoo of the ramako makanga|라마코 마캉가의 문신
tattoo of the tasalio makanga|타살리오 마캉가의 문신
honoured tattoo of the oak|참나무의 명예로운 문신
honoured tattoo of the berserker|광전사의 명예로운 문신
tattoo of the tukohama makanga|투코하마 마캉가의 문신
weapon recombinator|무기 재조합기
loyalty tattoo of tawhanuku|타하누쿠의 충성 문신
honoured tattoo of the dove|비둘기의 명예로운 문신
